id,actual_price,predicted_price
8691410310,680000.06,72004900000.0
7849202296,339900.16,72004900000.0
8585400135,584999.75,72004900000.0
8691330260,819999.9,72004900000.0
5416500980,419899.88,72004900000.0
1778500595,683000.1,72004900000.0
1220000367,320000.12,72004900000.0
3630110370,420000.0,72004900000.0
2490200620,534999.75,72004900000.0
1683600240,234975.08,72004900000.0
1180002378,298999.94,72004900000.0
7518507580,580999.94,72004900000.0
1441600020,960000.06,72004900000.0
5101408599,465000.16,72004900000.0
3342700371,539950.2,72004900000.0
3668000070,211999.97,72004900000.0
8562720390,1050000.0,72004900000.0
9835801000,245700.08,72004900000.0
4213910030,549999.94,72004900000.0
7853361120,530000.2,72004900000.0
1788700070,170000.08,72004900000.0
5411600020,701999.9,72004900000.0
1561900180,394999.94,72004900000.0
3300701440,408999.88,72004900000.0
7853230590,435000.06,72004900000.0
3601800580,250000.0,72004900000.0
1438000390,469994.88,72004900000.0
8700100010,314999.9,72004900000.0
7231501610,327000.03,72004900000.0
3396200090,639000.1,72004900000.0
739800250,268999.9,72004900000.0
293760050,1050000.0,72004900000.0
1088020070,645000.2,72004900000.0
7853340960,425590.0,72004900000.0
3819800580,400000.03,72004900000.0
3211200460,388999.9,72004900000.0
263000291,433500.06,72004900000.0
3345100251,429900.16,72004900000.0
2655500241,1698999.2,72004900000.0
7454001280,220000.1,72004900000.0
984200690,298999.94,72004900000.0
5332200515,1050000.0,72004900000.0
7973202225,154200.05,72004900000.0
4340610080,269500.1,72004900000.0
269000221,778999.75,72004900000.0
2420069251,262000.05,72004900000.0
2225039130,957000.0,72004900000.0
3904100065,340000.0,72004900000.0
7625702263,402000.1,72004900000.0
4140090240,519999.9,72004900000.0
4037400295,618000.2,72004900000.0
5016001285,750000.25,72004900000.0
1972201772,650000.1,72004900000.0
1310700210,267999.97,72004900000.0
2622059138,338999.88,72004900000.0
8651443420,279999.94,72004900000.0
7287100035,379999.94,72004900000.0
2459500310,357999.97,72004900000.0
4232900310,1429999.5,72004900000.0
8945000260,209949.94,72004900000.0
1545806510,260000.06,72004900000.0
6649900301,578999.8,72004900000.0
5315100805,650000.1,72004900000.0
7708200880,562500.2,72004900000.0
7925100271,429999.8,72004900000.0
6163901061,329000.12,72004900000.0
3404700041,549999.94,72004900000.0
161000120,650000.1,72004900000.0
7649400170,674999.8,72004900000.0
1529300115,455000.12,72004900000.0
6918720100,665000.2,72004900000.0
5244800915,780000.4,72004900000.0
1560800150,449999.94,72004900000.0
5191100180,1005000.3,72004900000.0
2923039017,510000.03,72004900000.0
6204200470,515000.0,72004900000.0
3832150190,262999.9,72004900000.0
4385700185,799950.3,72004900000.0
9407150100,285000.12,72004900000.0
2044500213,448999.84,72004900000.0
1623049133,205000.0,72004900000.0
3625059166,552999.94,72004900000.0
4389200796,1600000.0,72004900000.0
7955050250,442500.16,72004900000.0
9412400185,1309499.6,72004900000.0
1926069054,449999.94,72004900000.0
2425700005,759999.8,72004900000.0
7215730430,705000.2,72004900000.0
2287000030,811000.1,72004900000.0
3862710200,413999.84,72004900000.0
476000118,479949.88,72004900000.0
2726049034,2000000.4,72004900000.0
3221079055,367000.0,72004900000.0
3127200041,589000.1,72004900000.0
937000280,198999.98,72004900000.0
4083802425,608000.2,72004900000.0
7199340480,495000.06,72004900000.0
1953400045,384999.94,72004900000.0
7697000150,284000.03,72004900000.0
7338200240,437500.06,72004900000.0
6021503451,443600.0,72004900000.0
3630200460,789999.75,72004900000.0
687600110,777999.7,72004900000.0
